,objectid,área,nome,regiao_adm,area_plane,codbairro,codra,codbnum,link,rp,cod_rp,codbairro_long,st_areashape,st_perimetershape,nome_normalized
46,373,1835710.64990234,Vicente de Carvalho       ,IRAJA                   ,3,73,14,73,Vicente de Carvalho       &area=73                ,Madureira,3.3,73,1835715.63933275,6753.0168459758,VICENTE DE CARVALHO
47,374,27417970.8330078,Paciência                 ,SANTA CRUZ              ,5,148,19,148,Paciência                 &area=148               ,Santa Cruz,5.3,148,27418044.1754382,34307.6121150518,PACIENCIA
48,375,2225644.96826172,Engenho da Rainha         ,INHAUMA                 ,3,55,12,55,Engenho da Rainha         &area=55                ,Inhaúma,3.4,55,2225650.90688793,9188.82244156841,ENGENHO DA RAINHA
49,376,2960855.18457031,Complexo do Alemão        ,COMPLEXO DO ALEMÃO      ,3,156,29,156,Complexo do Alemão        &area=156               ,Inhaúma,3.4,156,2960863.12474693,11998.4524328701,COMPLEXO DO ALEMAO
50,377,1101220.96240234,Vaz Lobo                  ,MADUREIRA               ,3,84,15,84,Vaz Lobo                  &area=84                ,Madureira,3.3,84,1101223.89912826,5030.57392694362,VAZ LOBO
51,378,4865791.84277344,Padre Miguel              ,BANGU                   ,5,140,17,140,Padre Miguel              &area=140               ,Bangu,5.1,140,4865804.92019005,16274.2102798449,PADRE MIGUEL
52,379,3037846.62695313,Bento Ribeiro             ,MADUREIRA               ,3,89,15,89,Bento Ribeiro             &area=89                ,Madureira,3.3,89,3037854.78567577,8506.04732439871,BENTO RIBEIRO
53,380,1255809.62109375,Turiaçú                   ,MADUREIRA               ,3,85,15,85,Turiaçú                   &area=85                ,Madureira,3.3,85,1255813.02198942,5378.19997814611,TURIACU
54,381,2199716.17089844,Bonsucesso                ,RAMOS                   ,3,40,10,40,Bonsucesso                &area=40                ,Ramos,3.1,40,2199722.08237738,8559.00617712874,BONSUCESSO
55,382,3485274.29931641,Inhaúma                   ,INHAUMA                 ,3,54,12,54,Inhaúma                   &area=54                ,Inhaúma,3.4,54,3485283.65837399,13164.8132167078,INHAUMA
56,383,1747526.48583984,Tomás Coelho              ,INHAUMA                 ,3,56,12,56,Tomás Coelho              &area=56                ,Inhaúma,3.4,56,1747531.19376336,8403.84917314806,TOMAS COELHO
57,384,8319614.02734375,Santíssimo                ,CAMPO GRANDE            ,5,143,18,143,Santíssimo                &area=143               ,Campo Grande,5.2,143,8319636.3345545,15804.0407195392,SANTISSIMO
58,385,3787613.32128906,Madureira                 ,MADUREIRA               ,3,83,15,83,Madureira                 &area=83                ,Madureira,3.3,83,3787623.42644688,9574.37484536838,MADUREIRA
59,386,2071126.77880859,Osvaldo Cruz              ,MADUREIRA               ,3,88,15,88,Osvaldo Cruz              &area=88                ,Madureira,3.3,88,2071132.37489532,6942.74860846193,OSVALDO CRUZ
60,387,125044295.352051,Santa Cruz                ,SANTA CRUZ              ,5,149,19,149,Santa Cruz                &area=149               ,Santa Cruz,5.3,149,125044629.037668,65717.4793410213,SANTA CRUZ
61,388,1975949.31054688,Magalhães Bastos          ,REALENGO                ,5,138,33,138,Magalhães Bastos          &area=138               ,Bangu,5.1,138,1975954.60138644,6902.6639444557,MAGALHAES BASTOS
62,389,16908604.956543,Senador Camará            ,BANGU                   ,5,142,17,142,Senador Camará            &area=142               ,Bangu,5.1,142,16908650.1513417,25798.2415365183,SENADOR CAMARA
63,390,1924149.28466797,Cavalcanti                ,MADUREIRA               ,3,80,15,80,Cavalcanti                &area=80                ,Madureira,3.3,80,1924154.41282671,6248.04526721181,CAVALCANTI
64,391,3252292.92871094,Campo dos Afonsos         ,REALENGO                ,5,136,33,136,Campo dos Afonsos         &area=136               ,Bangu,5.1,136,3252301.63675027,8075.66216688338,CAMPO DOS AFONSOS
65,392,1157472.79248047,Higienópolis              ,INHAUMA                 ,3,50,12,50,Higienópolis              &area=50                ,Inhaúma,3.4,50,1157475.88634445,4944.39149877688,HIGIENOPOLIS
66,393,2618351.22753906,Manguinhos                ,RAMOS                   ,3,39,10,39,Manguinhos                &area=39                ,Ramos,3.1,39,2618358.25166317,8090.4094766418,MANGUINHOS
67,394,708274.3046875,Engenheiro Leal           ,MADUREIRA               ,3,81,15,81,Engenheiro Leal           &area=81                ,Madureira,3.3,81,708276.174339956,3785.03173086857,ENGENHEIRO LEAL
68,395,1836420.02978516,Pilares                   ,MEIER                   ,3,71,13,71,Pilares                   &area=71                ,Méier,3.2,71,1836424.95767272,6828.73862438065,PILARES
69,396,1440914.46484375,Del Castilho              ,INHAUMA                 ,3,53,12,53,Del Castilho              &area=53                ,Inhaúma,3.4,53,1440918.30813171,5294.82814605144,DEL CASTILHO
70,397,3887100.34375,Piedade                   ,MEIER                   ,3,69,13,69,Piedade                   &area=69                ,Méier,3.2,69,3887110.74719966,12326.548024802,PIEDADE
71,398,2838970.70166016,Cascadura                 ,MADUREIRA               ,3,82,15,82,Cascadura                 &area=82                ,Madureira,3.3,82,2838978.32682666,9056.41603970981,CASCADURA
72,399,4232214.78710938,Vila Valqueire            ,JACAREPAGUA             ,4,125,16,125,Vila Valqueire            &area=125               ,Jacarepaguá,4.1,125,4232226.08930893,9441.56990965384,VILA VALQUEIRE
73,400,824989.74072266,Maria da Graça            ,INHAUMA                 ,3,52,12,52,Maria da Graça            &area=52                ,Inhaúma,3.4,52,824991.934598462,4842.43570528686,MARIA DA GRACA
74,401,4323794.68115234,Quintino Bocaiúva         ,MADUREIRA               ,3,79,15,79,Quintino Bocaiúva         &area=79                ,Madureira,3.3,79,4323806.27004187,11247.734947724,QUINTINO BOCAIUVA
75,402,7869204.28027344,Jardim Sulacap            ,REALENGO                ,5,137,33,137,Jardim Sulacap            &area=137               ,Bangu,5.1,137,7869225.30882365,14519.3284239418,JARDIM SULACAP
76,403,984510.43115234,Campinho                  ,MADUREIRA               ,3,78,15,78,Campinho                  &area=78                ,Madureira,3.3,78,984513.125077134,4818.48907521659,CAMPINHO
77,404,616332.65332031,Abolição                  ,MEIER                   ,3,70,13,70,Abolição                  &area=70                ,Méier,3.2,70,616334.280833198,4930.77663124055,ABOLICAO
78,405,6441769.125,Senador Vasconcelos       ,CAMPO GRANDE            ,5,145,18,145,Senador Vasconcelos       &area=145               ,Campo Grande,5.2,145,6441786.35056811,12846.8250855761,SENADOR VASCONCELOS
79,406,11261318.8930664,Cosmos                    ,CAMPO GRANDE            ,5,147,18,147,Cosmos                    &area=147               ,Campo Grande,5.2,147,11261348.9744423,17686.7491414717,COSMOS
80,407,943874.10644531,Jacarezinho               ,JACAREZINHO             ,3,155,28,155,Jacarezinho               &area=155               ,Méier,3.2,155,943876.623960936,6319.11486441202,JACAREZINHO
81,408,2250159.74560547,Cachambi                  ,MEIER                   ,3,65,13,65,Cachambi                  &area=65                ,Méier,3.2,65,2250165.81273565,8081.75610044875,CACHAMBI
82,409,6499977.50927734,Praça Seca                ,JACAREPAGUA             ,4,124,16,124,Praça Seca                &area=124               ,Jacarepaguá,4.1,124,6499994.8233109,11438.6884120895,PRACA SECA
83,410,1736412.80761719,Benfica                   ,SAO CRISTOVAO           ,1,12,7,12,Benfica                   &area=12                ,Centro,1.1,12,1736417.43740785,9097.9904086429,BENFICA
84,411,3920440.57421875,Engenho de Dentro         ,MEIER                   ,3,66,13,66,Engenho de Dentro         &area=66                ,Méier,3.2,66,3920451.00448515,11905.9881465636,ENGENHO DE DENTRO
85,412,4105643.88916016,São Cristóvão             ,SAO CRISTOVAO           ,1,10,7,10,São Cristóvão             &area=10                ,Centro,1.1,10,4105654.8523132,14129.085003761,SAO CRISTOVAO
86,413,863074.53808594,Vasco da Gama             ,SAO CRISTOVAO           ,1,158,7,158,Vasco da Gama             &area=158               ,Centro,1.1,158,863076.834316144,4349.9829054857,VASCO DA GAMA
87,414,8287883.10449219,Inhoaíba                  ,CAMPO GRANDE            ,5,146,18,146,Inhoaíba                  &area=146               ,Campo Grande,5.2,146,8287905.19958888,15356.8850050675,INHOAIBA
88,415,1012635.96728516,Todos os Santos           ,MEIER                   ,3,64,13,64,Todos os Santos           &area=64                ,Méier,3.2,64,1012638.67142435,6163.38813011552,TODOS OS SANTOS
89,416,842565.64208984,Jacaré                    ,MEIER                   ,3,51,13,51,Jacaré                    &area=51                ,Méier,3.2,51,842567.884169913,6809.03087217511,JACARE
90,417,1060146.17480469,Encantado                 ,MEIER                   ,3,68,13,68,Encantado                 &area=68                ,Méier,3.2,68,1060149.02244419,5995.55499549677,ENCANTADO
91,418,1311625.60009766,Rocha                     ,MEIER                   ,3,58,13,58,Rocha                     &area=58                ,Méier,3.2,58,1311629.11451413,5717.94171897523,ROCHA
92,419,2470933.15234375,Méier                     ,MEIER                   ,3,63,13,63,Méier                     &area=63                ,Méier,3.2,63,2470939.76895908,9836.6512340584,MEIER
93,420,1112902.74121094,Gamboa                    ,PORTUARIA               ,1,2,1,2,Gamboa                    &area=2                 ,Centro,1.1,2,1112905.72050921,4612.83363044584,GAMBOA
94,421,1684720.66113281,Santo Cristo              ,PORTUARIA               ,1,3,1,3,Santo Cristo              &area=3                 ,Centro,1.1,3,1684725.17699493,6743.22788487282,SANTO CRISTO
95,422,5424739.1953125,Centro                    ,CENTRO                  ,1,5,2,5,Centro                    &area=5                 ,Centro,1.1,5,5424753.71225793,22846.2448060092,CENTRO
96,423,884408.47705078,Sampaio                   ,MEIER                   ,3,60,13,60,Sampaio                   &area=60                ,Méier,3.2,60,884410.837998252,5793.72207788203,SAMPAIO
97,424,928108.49707031,Riachuelo                 ,MEIER                   ,3,59,13,59,Riachuelo                 &area=59                ,Méier,3.2,59,928110.984474532,5342.53695888959,RIACHUELO
98,425,363817.62255859,Saúde                     ,PORTUARIA               ,1,1,1,1,Saúde                     &area=1                 ,Centro,1.1,1,363818.583960534,2646.22056769347,SAUDE
99,426,648907.60009766,São Francisco Xavier      ,MEIER                   ,3,57,13,57,São Francisco Xavier      &area=57                ,Méier,3.2,57,648909.349749173,5462.17426991829,SAO FRANCISCO XAVIER
100,427,2644847.10009766,Engenho Novo              ,MEIER                   ,3,61,13,61,Engenho Novo              &area=61                ,Méier,3.2,61,2644854.14701814,10595.6892426929,ENGENHO NOVO
101,428,798128.92089844,Mangueira                 ,SAO CRISTOVAO           ,1,11,7,11,Mangueira                 &area=11                ,Centro,1.1,11,798131.050532149,4489.00969205913,MANGUEIRA
102,429,5567990.09863281,Tanque                    ,JACAREPAGUA             ,4,123,16,123,Tanque                    &area=123               ,Jacarepaguá,4.1,123,5568004.96228391,15382.4619820578,TANQUE
103,430,13206630.0966797,Taquara                   ,JACAREPAGUA             ,4,122,16,122,Taquara                   &area=122               ,Jacarepaguá,4.1,122,13206665.3174263,22254.6902935559,TAQUARA
104,431,2426231.83935547,Água Santa                ,MEIER                   ,3,67,13,67,Água Santa                &area=67                ,Méier,3.2,67,2426238.34167759,6751.46940726946,AGUA SANTA
105,432,2669197.55273438,Lins de Vasconcelos       ,MEIER                   ,3,62,13,62,Lins de Vasconcelos       &area=62                ,Méier,3.2,62,2669204.70828791,9532.64928563298,LINS DE VASCONCELOS
106,433,10328406.1118164,Freguesia (Jacarepaguá)   ,JACAREPAGUA             ,4,120,16,120,Freguesia (Jacarepaguá)   &area=120               ,Jacarepaguá,4.1,120,10328433.6054947,17756.8014444041,FREGUESIA JACAREPAGUA
107,434,934852.88378906,Cidade Nova               ,RIO COMPRIDO            ,1,8,3,8,Cidade Nova               &area=8                 ,Centro,1.1,8,934855.375459832,4790.11644919017,CIDADE NOVA
108,435,719909.69824219,Praça da Bandeira         ,TIJUCA                  ,2,32,8,32,Praça da Bandeira         &area=32                ,Tijuca,2.2,32,719911.629995197,4727.31258176158,PRACA DA BANDEIRA
109,436,3217125.90039063,Vila Isabel               ,VILA ISABEL             ,2,36,9,36,Vila Isabel               &area=36                ,Tijuca,2.2,36,3217134.51803647,9014.57768191261,VILA ISABEL
110,437,1667302.203125,Maracanã                  ,VILA ISABEL             ,2,35,9,35,Maracanã                  &area=35                ,Tijuca,2.2,35,1667306.66727362,8473.32658541025,MARACANA
111,438,1140065.48193359,Glória                    ,BOTAFOGO                ,2,16,4,16,Glória                    &area=16                ,Zona Sul,2.1,16,1140068.54175235,7225.2481070283,GLORIA
112,439,3342510.64160156,Rio Comprido              ,RIO COMPRIDO            ,1,7,3,7,Rio Comprido              &area=7                 ,Centro,1.1,7,3342519.56022305,12681.0792577535,RIO COMPRIDO
113,440,5157128.51367188,Santa Teresa              ,SANTA TEREZA            ,1,14,23,14,Santa Teresa              &area=14                ,Centro,1.1,14,5157142.20290397,27344.8411046267,SANTA TERESA
114,441,980400.66503906,Estácio                   ,RIO COMPRIDO            ,1,9,3,9,Estácio                   &area=9                 ,Centro,1.1,9,980403.290771837,5269.43249895272,ESTACIO
115,442,10065558.4926758,Tijuca                    ,TIJUCA                  ,2,33,8,33,Tijuca                    &area=33                ,Tijuca,2.2,33,10065585.2970684,20628.8529332613,TIJUCA
116,443,539458.44189453,Catumbi                   ,RIO COMPRIDO            ,1,6,3,6,Catumbi                   &area=6                 ,Centro,1.1,6,539459.892675655,5123.71245374969,CATUMBI
117,444,5739104.51953125,Grajaú                    ,VILA ISABEL             ,2,38,9,38,Grajaú                    &area=38                ,Tijuca,2.2,38,5739119.77279665,12833.731362459,GRAJAU
118,445,2830915.62158203,Pechincha                 ,JACAREPAGUA             ,4,121,16,121,Pechincha                 &area=121               ,Jacarepaguá,4.1,121,2830923.17354291,7817.21801266541,PECHINCHA
119,446,2261300.484375,Andaraí                   ,VILA ISABEL             ,2,37,9,37,Andaraí                   &area=37                ,Tijuca,2.2,37,2261306.49070124,9938.11257812439,ANDARAI
120,447,681026.73291016,Catete                    ,BOTAFOGO                ,2,18,4,18,Catete                    &area=18                ,Zona Sul,2.1,18,681028.540966541,4260.14774735484,CATETE
121,448,1646253.58740234,Flamengo                  ,BOTAFOGO                ,2,15,4,15,Flamengo                  &area=15                ,Zona Sul,2.1,15,1646257.96377791,6665.3491625651,FLAMENGO
122,449,2493507.37158203,Laranjeiras               ,BOTAFOGO                ,2,17,4,17,Laranjeiras               &area=17                ,Zona Sul,2.1,17,2493514.03433931,10537.1287360789,LARANJEIRAS
123,450,131786592.992188,Guaratiba                 ,GUARATIBA               ,5,151,26,151,Guaratiba                 &area=151               ,Guaratiba,5.4,151,131786941.570838,88693.9957085015,GUARATIBA
124,451,39380382.5219727,Vargem Grande             ,BARRA DA TIJUCA         ,4,131,24,131,Vargem Grande             &area=131               ,Barra da Tijuca,4.2,131,39380486.94749,33697.3209729583,VARGEM GRANDE
125,452,31495676.0087891,Alto da Boa Vista         ,TIJUCA                  ,2,34,8,34,Alto da Boa Vista         &area=34                ,Tijuca,2.2,34,31495759.6494942,43744.4695415772,ALTO DA BOA VISTA
126,453,892540.06591797,Cosme Velho               ,BOTAFOGO                ,2,19,4,19,Cosme Velho               &area=19                ,Zona Sul,2.1,19,892542.469830599,7889.68145193373,COSME VELHO
127,454,3339565.57861328,Curicica                  ,JACAREPAGUA             ,4,119,16,119,Curicica                  &area=119               ,Jacarepaguá,4.1,119,3339574.41581564,9985.69218281789,CURICICA
128,455,4798955.83154297,Botafogo                  ,BOTAFOGO                ,2,20,4,20,Botafogo                  &area=20                ,Zona Sul,2.1,20,4798968.63344845,12136.3919389296,BOTAFOGO
129,456,2319001.83740234,Urca                      ,BOTAFOGO                ,2,22,4,22,Urca                      &area=22                ,Zona Sul,2.1,22,2319007.98395237,14138.5239104271,URCA
130,457,1273024.81640625,Cidade de Deus            ,CIDADE DE DEUS          ,4,118,34,118,Cidade de Deus            &area=118               ,Jacarepaguá,4.1,118,1273028.18162949,7243.93443166759,CIDADE DE DEUS
131,458,11621300.0146484,Sepetiba                  ,SANTA CRUZ              ,5,150,19,150,Sepetiba                  &area=150               ,Santa Cruz,5.3,150,11621330.8138492,21108.8494942958,SEPETIBA
132,459,3500410.67089844,Anil                      ,JACAREPAGUA             ,4,116,16,116,Anil                      &area=116               ,Jacarepaguá,4.1,116,3500419.99167141,10834.6065794703,ANIL
133,460,75796482.3310547,Jacarepaguá               ,JACAREPAGUA             ,4,115,16,115,Jacarepaguá               &area=115               ,Jacarepaguá,4.1,115,75796684.0394721,73409.8040295949,JACAREPAGUA
134,461,8859905.68505859,Camorim                   ,BARRA DA TIJUCA         ,4,129,24,129,Camorim                   &area=129               ,Barra da Tijuca,4.2,129,8859929.12223056,17128.1844126546,CAMORIM
135,462,1054475.31884766,Humaitá                   ,BOTAFOGO                ,2,21,4,21,Humaitá                   &area=21                ,Zona Sul,2.1,21,1054478.0944416,7100.85581853291,HUMAITA
136,463,1236291.52294922,Gardênia Azul             ,JACAREPAGUA             ,4,117,16,117,Gardênia Azul             &area=117               ,Jacarepaguá,4.1,117,1236294.80718245,4618.11223963132,GARDENIA AZUL
137,464,2689203.73388672,Jardim Botânico           ,LAGOA                   ,2,28,6,28,Jardim Botânico           &area=28                ,Zona Sul,2.1,28,2689210.85548533,12263.1316229627,JARDIM BOTANICO
138,465,14438294.6982422,Vargem Pequena            ,BARRA DA TIJUCA         ,4,130,24,130,Vargem Pequena            &area=130               ,Barra da Tijuca,4.2,130,14438332.9307308,20648.9528278573,VARGEM PEQUENA
139,466,4100850.171875,Copacabana                ,COPACABANA              ,2,24,5,24,Copacabana                &area=24                ,Zona Sul,2.1,24,4100861.01091567,12803.5162094603,COPACABANA
140,467,977199.05126953,Leme                      ,COPACABANA              ,2,23,5,23,Leme                      &area=23                ,Zona Sul,2.1,23,977201.642581086,7045.33137927923,LEME
141,468,5109893.28710938,Lagoa                     ,LAGOA                   ,2,27,6,27,Lagoa                     &area=27                ,Zona Sul,2.1,27,5109906.83507628,10368.0534711564,LAGOA
142,469,13197726.2036133,Itanhangá                 ,BARRA DA TIJUCA         ,4,127,24,127,Itanhangá                 &area=127               ,Barra da Tijuca,4.2,127,13197761.1156488,20400.6718689367,ITANHANGA
143,470,2579636.59130859,Gávea                     ,LAGOA                   ,2,29,6,29,Gávea                     &area=29                ,Zona Sul,2.1,29,2579643.41496276,14268.5242862179,GAVEA
144,471,48150630.065918,Barra da Tijuca           ,BARRA DA TIJUCA         ,4,128,24,128,Barra da Tijuca           &area=128               ,Barra da Tijuca,4.2,128,48150757.3808706,47771.8593883549,BARRA DA TIJUCA
145,472,2153095.9453125,Leblon                    ,LAGOA                   ,2,26,6,26,Leblon                    &area=26                ,Zona Sul,2.1,26,2153101.6527827,7188.67222015611,LEBLON
146,473,3084907.22021484,Ipanema                   ,LAGOA                   ,2,25,6,25,Ipanema                   &area=25                ,Zona Sul,2.1,25,3084915.33765167,23487.5578264764,IPANEMA
147,474,6488565.79443359,São Conrado               ,LAGOA                   ,2,31,6,31,São Conrado               &area=31                ,Zona Sul,2.1,31,6488582.98318441,13311.9107097911,SAO CONRADO
148,475,1437194.75585938,Rocinha                   ,ROCINHA                 ,2,154,27,154,Rocinha                   &area=154               ,Zona Sul,2.1,154,1437198.57715932,6120.75345231762,ROCINHA
