área,nome,codbairro,codra,cod_rp,nome_normalized
1060146.17480469,Encantado                 ,68,13,3.2,ENCANTADO
1311625.60009766,Rocha                     ,58,13,3.2,ROCHA
2470933.15234375,Méier                     ,63,13,3.2,MEIER
1112902.74121094,Gamboa                    ,2,1,1.1,GAMBOA
1684720.66113281,Santo Cristo              ,3,1,1.1,SANTO CRISTO
5424739.1953125,Centro                    ,5,2,1.1,CENTRO
884408.47705078,Sampaio                   ,60,13,3.2,SAMPAIO
928108.49707031,Riachuelo                 ,59,13,3.2,RIACHUELO
363817.62255859,Saúde                     ,1,1,1.1,SAUDE
648907.60009766,São Francisco Xavier      ,57,13,3.2,SAO FRANCISCO XAVIER
2644847.10009766,Engenho Novo              ,61,13,3.2,ENGENHO NOVO
798128.92089844,Mangueira                 ,11,7,1.1,MANGUEIRA
5567990.09863281,Tanque                    ,123,16,4.1,TANQUE
13206630.0966797,Taquara                   ,122,16,4.1,TAQUARA
2426231.83935547,Água Santa                ,67,13,3.2,AGUA SANTA
2669197.55273438,Lins de Vasconcelos       ,62,13,3.2,LINS DE VASCONCELOS
10328406.1118164,Freguesia (Jacarepaguá)   ,120,16,4.1,FREGUESIA JACAREPAGUA
934852.88378906,Cidade Nova               ,8,3,1.1,CIDADE NOVA
719909.69824219,Praça da Bandeira         ,32,8,2.2,PRACA DA BANDEIRA
3217125.90039063,Vila Isabel               ,36,9,2.2,VILA ISABEL
1667302.203125,Maracanã                  ,35,9,2.2,MARACANA
1140065.48193359,Glória                    ,16,4,2.1,GLORIA
3342510.64160156,Rio Comprido              ,7,3,1.1,RIO COMPRIDO
5157128.51367188,Santa Teresa              ,14,23,1.1,SANTA TERESA
980400.66503906,Estácio                   ,9,3,1.1,ESTACIO
10065558.4926758,Tijuca                    ,33,8,2.2,TIJUCA
539458.44189453,Catumbi                   ,6,3,1.1,CATUMBI
5739104.51953125,Grajaú                    ,38,9,2.2,GRAJAU
2830915.62158203,Pechincha                 ,121,16,4.1,PECHINCHA
2261300.484375,Andaraí                   ,37,9,2.2,ANDARAI
681026.73291016,Catete                    ,18,4,2.1,CATETE
1646253.58740234,Flamengo                  ,15,4,2.1,FLAMENGO
2493507.37158203,Laranjeiras               ,17,4,2.1,LARANJEIRAS
131786592.992188,Guaratiba                 ,151,26,5.4,GUARATIBA
39380382.5219727,Vargem Grande             ,131,24,4.2,VARGEM GRANDE
31495676.0087891,Alto da Boa Vista         ,34,8,2.2,ALTO DA BOA VISTA
892540.06591797,Cosme Velho               ,19,4,2.1,COSME VELHO
3339565.57861328,Curicica                  ,119,16,4.1,CURICICA
4798955.83154297,Botafogo                  ,20,4,2.1,BOTAFOGO
2319001.83740234,Urca                      ,22,4,2.1,URCA
1273024.81640625,Cidade de Deus            ,118,34,4.1,CIDADE DE DEUS
11621300.0146484,Sepetiba                  ,150,19,5.3,SEPETIBA
3500410.67089844,Anil                      ,116,16,4.1,ANIL
75796482.3310547,Jacarepaguá               ,115,16,4.1,JACAREPAGUA
8859905.68505859,Camorim                   ,129,24,4.2,CAMORIM
1054475.31884766,Humaitá                   ,21,4,2.1,HUMAITA
1236291.52294922,Gardênia Azul             ,117,16,4.1,GARDENIA AZUL
2689203.73388672,Jardim Botânico           ,28,6,2.1,JARDIM BOTANICO
14438294.6982422,Vargem Pequena            ,130,24,4.2,VARGEM PEQUENA
4100850.171875,Copacabana                ,24,5,2.1,COPACABANA
977199.05126953,Leme                      ,23,5,2.1,LEME
5109893.28710938,Lagoa                     ,27,6,2.1,LAGOA
13197726.2036133,Itanhangá                 ,127,24,4.2,ITANHANGA
2579636.59130859,Gávea                     ,29,6,2.1,GAVEA
48150630.065918,Barra da Tijuca           ,128,24,4.2,BARRA DA TIJUCA
2153095.9453125,Leblon                    ,26,6,2.1,LEBLON
3084907.22021484,Ipanema                   ,25,6,2.1,IPANEMA
6488565.79443359,São Conrado               ,31,6,2.1,SAO CONRADO
1437194.75585938,Rocinha                   ,154,27,2.1,ROCINHA
3636912.25195313,Pedra de Guaratiba        ,153,26,5.4,PEDRA DE GUARATIBA
30655624.2368164,Recreio dos Bandeirantes  ,132,24,4.2,RECREIO DOS BANDEIRANTES
1621377.86816406,Vidigal                   ,30,6,2.1,VIDIGAL
1689691.29736328,Joá                       ,126,24,4.2,JOA
9442030.42529297,Barra de Guaratiba        ,152,26,5.4,BARRA DE GUARATIBA
9598826.27539063,Grumari                   ,133,24,4.2,GRUMARI
5347480.57666016,Caju                      ,4,1,1.1,CAJU
4640511.10009766,Deodoro                   ,134,33,5.1,DEODORO
298325.82470703,Lapa,161,2,1.1,LAPA
104445147.6875,Campo Grande,144,18,5.2,CAMPO GRANDE
35966196.7001953,Bangu,141,17,5.1,BANGU
2534304.16845703,Gericinó,160,17,5.1,GERICINO
327327.08300781,Jabour,163,17,5.1,JABOUR
1473737.29589844,Vila Kennedy,162,17,5.1,VILA KENNEDY
7714616.09516844,Ilha de Guaratiba,164,26,5.4,ILHA DE GUARATIBA
